Hour,Day,Month,Year,Load
0,1,1,2018,7200.5547
1,1,1,2018,8158.7188
2,1,1,2018,8158.7188
3,1,1,2018,8158.7188
4,1,1,2018,8158.7188
5,1,1,2018,8158.7188
6,1,1,2018,8158.7188
17,1,1,2018,8844.153
18,1,1,2018,8844.153
19,1,1,2018,8844.153
20,1,1,2018,8844.153
21,1,1,2018,8844.153
22,1,1,2018,8844.153
23,1,1,2018,8844.153
0,2,1,2018,8761.63
1,2,1,2018,8929.734
2,2,1,2018,7317.715
3,2,1,2018,7503.251
4,2,1,2018,7503.251
5,2,1,2018,7525.557
6,2,1,2018,7503.251
7,2,1,2018,7365.32
8,2,1,2018,9016.714
9,2,1,2018,7108.1226
10,2,1,2018,8697.98
11,2,1,2018,8697.98
12,2,1,2018,8697.98
13,2,1,2018,8697.98
14,2,1,2018,8697.98
15,2,1,2018,9016.714
16,2,1,2018,9016.714
17,2,1,2018,8929.734
18,2,1,2018,8929.734
19,2,1,2018,8929.734
20,2,1,2018,8929.734
21,2,1,2018,8929.734
22,2,1,2018,8929.734
23,2,1,2018,8929.734
0,3,1,2018,8761.63
1,3,1,2018,8929.734
2,3,1,2018,8929.734
3,3,1,2018,8929.734
4,3,1,2018,8929.734
5,3,1,2018,8929.734
6,3,1,2018,8929.734
7,3,1,2018,8929.734
8,3,1,2018,9016.714
9,3,1,2018,9016.714
10,3,1,2018,9016.714
11,3,1,2018,9016.714
12,3,1,2018,9016.714
13,3,1,2018,8697.98
14,3,1,2018,9016.714
15,3,1,2018,9016.714
16,3,1,2018,9016.714
17,3,1,2018,8929.734
18,3,1,2018,8929.734
19,3,1,2018,8929.734
20,3,1,2018,8929.734
21,3,1,2018,8929.734
22,3,1,2018,8929.734
23,3,1,2018,8929.734
0,4,1,2018,8761.63
1,4,1,2018,8929.734
2,4,1,2018,8929.734
3,4,1,2018,8929.734
11,4,1,2018,9016.714
12,4,1,2018,9016.714
13,4,1,2018,9016.714
14,4,1,2018,9016.714
15,4,1,2018,9016.714
16,4,1,2018,9016.714
17,4,1,2018,8929.734
18,4,1,2018,8929.734
19,4,1,2018,8929.734
20,4,1,2018,8929.734
21,4,1,2018,8929.734
22,4,1,2018,8929.734
23,4,1,2018,8929.734
0,5,1,2018,8761.63
1,5,1,2018,8929.734
2,5,1,2018,7317.715
3,5,1,2018,7317.715
4,5,1,2018,7317.715
5,5,1,2018,7317.715
6,5,1,2018,7317.715
7,5,1,2018,7317.715
8,5,1,2018,7398.788
9,5,1,2018,7398.788
10,5,1,2018,7398.788
11,5,1,2018,7398.788
12,5,1,2018,7398.788
13,5,1,2018,7398.788
14,5,1,2018,7398.788
15,5,1,2018,7398.788
16,5,1,2018,9016.714
17,5,1,2018,8849.84
18,5,1,2018,8929.734
19,5,1,2018,7317.715
20,5,1,2018,7317.715
21,5,1,2018,7317.715
22,5,1,2018,7317.715
23,5,1,2018,7317.715
0,6,1,2018,7095.271
1,6,1,2018,7503.251
2,6,1,2018,7503.251
3,6,1,2018,7503.251
4,6,1,2018,7503.251
5,6,1,2018,7503.251
6,6,1,2018,7317.715
7,6,1,2018,7317.715
8,6,1,2018,7398.788
9,6,1,2018,7398.788
10,6,1,2018,7398.788
11,6,1,2018,7398.788
12,6,1,2018,7398.788
13,6,1,2018,7398.788
14,6,1,2018,7398.788
15,6,1,2018,7398.788
16,6,1,2018,7398.788
23,6,1,2018,7503.251
